"C02584V03137","Vehicle Category","C01841V02268","Type of Fuel","TLIST(M1)","Month","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All vehicle types","-","All fuel types","200704","2007M04","TDM01C1","All Vehicle Registrations","Number","30319"
"-","All vehicle types","-","All fuel types","200704","2007M04","TDM01C2","New Vehicle Registrations","Number","22356"
"-","All vehicle types","-","All fuel types","200704","2007M04","TDM01C3","Second Hand Vehicle Registrations","Number","7963"
"-","All vehicle types","-","All fuel types","200705","2007M05","TDM01C1","All Vehicle Registrations","Number","32963"
"-","All vehicle types","-","All fuel types","200705","2007M05","TDM01C2","New Vehicle Registrations","Number","24440"
"-","All vehicle types","-","All fuel types","200705","2007M05","TDM01C3","Second Hand Vehicle Registrations","Number","8523"
"-","All vehicle types","-","All fuel types","200706","2007M06","TDM01C1","All Vehicle Registrations","Number","28301"
"-","All vehicle types","-","All fuel types","200706","2007M06","TDM01C2","New Vehicle Registrations","Number","20583"
"-","All vehicle types","-","All fuel types","200706","2007M06","TDM01C3","Second Hand Vehicle Registrations","Number","7718"
"-","All vehicle types","-","All fuel types","200707","2007M07","TDM01C1","All Vehicle Registrations","Number","25369"
"-","All vehicle types","-","All fuel types","200707","2007M07","TDM01C2","New Vehicle Registrations","Number","17697"
"-","All vehicle types","-","All fuel types","200707","2007M07","TDM01C3","Second Hand Vehicle Registrations","Number","7672"
"-","All vehicle types","-","All fuel types","200708","2007M08","TDM01C1","All Vehicle Registrations","Number","19214"
"-","All vehicle types","-","All fuel types","200708","2007M08","TDM01C2","New Vehicle Registrations","Number","11802"
"-","All vehicle types","-","All fuel types","200708","2007M08","TDM01C3","Second Hand Vehicle Registrations","Number","7412"
"-","All vehicle types","-","All fuel types","200709","2007M09","TDM01C1","All Vehicle Registrations","Number","16038"
"-","All vehicle types","-","All fuel types","200709","2007M09","TDM01C2","New Vehicle Registrations","Number","9036"
"-","All vehicle types","-","All fuel types","200709","2007M09","TDM01C3","Second Hand Vehicle Registrations","Number","7002"
"-","All vehicle types","-","All fuel types","200710","2007M10","TDM01C1","All Vehicle Registrations","Number","14013"
"-","All vehicle types","-","All fuel types","200710","2007M10","TDM01C2","New Vehicle Registrations","Number","6413"
"-","All vehicle types","-","All fuel types","200710","2007M10","TDM01C3","Second Hand Vehicle Registrations","Number","7600"
"-","All vehicle types","-","All fuel types","200711","2007M11","TDM01C1","All Vehicle Registrations","Number","10061"
"-","All vehicle types","-","All fuel types","200711","2007M11","TDM01C2","New Vehicle Registrations","Number","3138"
"-","All vehicle types","-","All fuel types","200711","2007M11","TDM01C3","Second Hand Vehicle Registrations","Number","6923"
"-","All vehicle types","-","All fuel types","200712","2007M12","TDM01C1","All Vehicle Registrations","Number","5185"
"-","All vehicle types","-","All fuel types","200712","2007M12","TDM01C2","New Vehicle Registrations","Number","1106"
"-","All vehicle types","-","All fuel types","200712","2007M12","TDM01C3","Second Hand Vehicle Registrations","Number","4079"
"-","All vehicle types","-","All fuel types","200801","2008M01","TDM01C1","All Vehicle Registrations","Number","66705"
"-","All vehicle types","-","All fuel types","200801","2008M01","TDM01C2","New Vehicle Registrations","Number","59138"
"-","All vehicle types","-","All fuel types","200801","2008M01","TDM01C3","Second Hand Vehicle Registrations","Number","7567"
"-","All vehicle types","-","All fuel types","200802","2008M02","TDM01C1","All Vehicle Registrations","Number","38906"
"-","All vehicle types","-","All fuel types","200802","2008M02","TDM01C2","New Vehicle Registrations","Number","30756"
"-","All vehicle types","-","All fuel types","200802","2008M02","TDM01C3","Second Hand Vehicle Registrations","Number","8150"
"-","All vehicle types","-","All fuel types","200803","2008M03","TDM01C1","All Vehicle Registrations","Number","34228"
"-","All vehicle types","-","All fuel types","200803","2008M03","TDM01C2","New Vehicle Registrations","Number","26993"
"-","All vehicle types","-","All fuel types","200803","2008M03","TDM01C3","Second Hand Vehicle Registrations","Number","7235"
"-","All vehicle types","-","All fuel types","200804","2008M04","TDM01C1","All Vehicle Registrations","Number","26139"
"-","All vehicle types","-","All fuel types","200804","2008M04","TDM01C2","New Vehicle Registrations","Number","17685"
"-","All vehicle types","-","All fuel types","200804","2008M04","TDM01C3","Second Hand Vehicle Registrations","Number","8454"
"-","All vehicle types","-","All fuel types","200805","2008M05","TDM01C1","All Vehicle Registrations","Number","22333"
"-","All vehicle types","-","All fuel types","200805","2008M05","TDM01C2","New Vehicle Registrations","Number","14115"
"-","All vehicle types","-","All fuel types","200805","2008M05","TDM01C3","Second Hand Vehicle Registrations","Number","8218"
"-","All vehicle types","-","All fuel types","200806","2008M06","TDM01C1","All Vehicle Registrations","Number","21082"
"-","All vehicle types","-","All fuel types","200806","2008M06","TDM01C2","New Vehicle Registrations","Number","10974"
"-","All vehicle types","-","All fuel types","200806","2008M06","TDM01C3","Second Hand Vehicle Registrations","Number","10108"
"-","All vehicle types","-","All fuel types","200807","2008M07","TDM01C1","All Vehicle Registrations","Number","28917"
"-","All vehicle types","-","All fuel types","200807","2008M07","TDM01C2","New Vehicle Registrations","Number","19067"
"-","All vehicle types","-","All fuel types","200807","2008M07","TDM01C3","Second Hand Vehicle Registrations","Number","9850"
"-","All vehicle types","-","All fuel types","200808","2008M08","TDM01C1","All Vehicle Registrations","Number","13794"
"-","All vehicle types","-","All fuel types","200808","2008M08","TDM01C2","New Vehicle Registrations","Number","6893"
"-","All vehicle types","-","All fuel types","200808","2008M08","TDM01C3","Second Hand Vehicle Registrations","Number","6901"
"-","All vehicle types","-","All fuel types","200809","2008M09","TDM01C1","All Vehicle Registrations","Number","12433"
"-","All vehicle types","-","All fuel types","200809","2008M09","TDM01C2","New Vehicle Registrations","Number","5100"
"-","All vehicle types","-","All fuel types","200809","2008M09","TDM01C3","Second Hand Vehicle Registrations","Number","7333"
"-","All vehicle types","-","All fuel types","200810","2008M10","TDM01C1","All Vehicle Registrations","Number","10318"
"-","All vehicle types","-","All fuel types","200810","2008M10","TDM01C2","New Vehicle Registrations","Number","3229"
"-","All vehicle types","-","All fuel types","200810","2008M10","TDM01C3","Second Hand Vehicle Registrations","Number","7089"
"-","All vehicle types","-","All fuel types","200811","2008M11","TDM01C1","All Vehicle Registrations","Number","7081"
"-","All vehicle types","-","All fuel types","200811","2008M11","TDM01C2","New Vehicle Registrations","Number","1379"
"-","All vehicle types","-","All fuel types","200811","2008M11","TDM01C3","Second Hand Vehicle Registrations","Number","5702"
"-","All vehicle types","-","All fuel types","200812","2008M12","TDM01C1","All Vehicle Registrations","Number","4632"
"-","All vehicle types","-","All fuel types","200812","2008M12","TDM01C2","New Vehicle Registrations","Number","427"
"-","All vehicle types","-","All fuel types","200812","2008M12","TDM01C3","Second Hand Vehicle Registrations","Number","4205"
"-","All vehicle types","-","All fuel types","200901","2009M01","TDM01C1","All Vehicle Registrations","Number","27053"
"-","All vehicle types","-","All fuel types","200901","2009M01","TDM01C2","New Vehicle Registrations","Number","18961"
"-","All vehicle types","-","All fuel types","200901","2009M01","TDM01C3","Second Hand Vehicle Registrations","Number","8092"
"-","All vehicle types","-","All fuel types","200902","2009M02","TDM01C1","All Vehicle Registrations","Number","18358"
"-","All vehicle types","-","All fuel types","200902","2009M02","TDM01C2","New Vehicle Registrations","Number","10364"
"-","All vehicle types","-","All fuel types","200902","2009M02","TDM01C3","Second Hand Vehicle Registrations","Number","7994"
"-","All vehicle types","-","All fuel types","200903","2009M03","TDM01C1","All Vehicle Registrations","Number","18278"
"-","All vehicle types","-","All fuel types","200903","2009M03","TDM01C2","New Vehicle Registrations","Number","9429"
"-","All vehicle types","-","All fuel types","200903","2009M03","TDM01C3","Second Hand Vehicle Registrations","Number","8849"
"-","All vehicle types","-","All fuel types","200904","2009M04","TDM01C1","All Vehicle Registrations","Number","15397"
"-","All vehicle types","-","All fuel types","200904","2009M04","TDM01C2","New Vehicle Registrations","Number","5884"
"-","All vehicle types","-","All fuel types","200904","2009M04","TDM01C3","Second Hand Vehicle Registrations","Number","9513"
"-","All vehicle types","-","All fuel types","200905","2009M05","TDM01C1","All Vehicle Registrations","Number","13459"
"-","All vehicle types","-","All fuel types","200905","2009M05","TDM01C2","New Vehicle Registrations","Number","6331"
"-","All vehicle types","-","All fuel types","200905","2009M05","TDM01C3","Second Hand Vehicle Registrations","Number","7128"
"-","All vehicle types","-","All fuel types","200906","2009M06","TDM01C1","All Vehicle Registrations","Number","12373"
"-","All vehicle types","-","All fuel types","200906","2009M06","TDM01C2","New Vehicle Registrations","Number","6195"
"-","All vehicle types","-","All fuel types","200906","2009M06","TDM01C3","Second Hand Vehicle Registrations","Number","6178"
"-","All vehicle types","-","All fuel types","200907","2009M07","TDM01C1","All Vehicle Registrations","Number","10976"
"-","All vehicle types","-","All fuel types","200907","2009M07","TDM01C2","New Vehicle Registrations","Number","5152"
"-","All vehicle types","-","All fuel types","200907","2009M07","TDM01C3","Second Hand Vehicle Registrations","Number","5824"
"-","All vehicle types","-","All fuel types","200908","2009M08","TDM01C1","All Vehicle Registrations","Number","8368"
"-","All vehicle types","-","All fuel types","200908","2009M08","TDM01C2","New Vehicle Registrations","Number","3345"
"-","All vehicle types","-","All fuel types","200908","2009M08","TDM01C3","Second Hand Vehicle Registrations","Number","5023"
"-","All vehicle types","-","All fuel types","200909","2009M09","TDM01C1","All Vehicle Registrations","Number","8467"
"-","All vehicle types","-","All fuel types","200909","2009M09","TDM01C2","New Vehicle Registrations","Number","3161"
"-","All vehicle types","-","All fuel types","200909","2009M09","TDM01C3","Second Hand Vehicle Registrations","Number","5306"
"-","All vehicle types","-","All fuel types","200910","2009M10","TDM01C1","All Vehicle Registrations","Number","7277"
"-","All vehicle types","-","All fuel types","200910","2009M10","TDM01C2","New Vehicle Registrations","Number","2154"
"-","All vehicle types","-","All fuel types","200910","2009M10","TDM01C3","Second Hand Vehicle Registrations","Number","5123"
"-","All vehicle types","-","All fuel types","200911","2009M11","TDM01C1","All Vehicle Registrations","Number","5393"
"-","All vehicle types","-","All fuel types","200911","2009M11","TDM01C2","New Vehicle Registrations","Number","944"
"-","All vehicle types","-","All fuel types","200911","2009M11","TDM01C3","Second Hand Vehicle Registrations","Number","4449"
"-","All vehicle types","-","All fuel types","200912","2009M12","TDM01C1","All Vehicle Registrations","Number","3775"
"-","All vehicle types","-","All fuel types","200912","2009M12","TDM01C2","New Vehicle Registrations","Number","509"
"-","All vehicle types","-","All fuel types","200912","2009M12","TDM01C3","Second Hand Vehicle Registrations","Number","3266"
"-","All vehicle types","-","All fuel types","201001","2010M01","TDM01C1","All Vehicle Registrations","Number","23543"
"-","All vehicle types","-","All fuel types","201001","2010M01","TDM01C2","New Vehicle Registrations","Number","19195"
"-","All vehicle types","-","All fuel types","201001","2010M01","TDM01C3","Second Hand Vehicle Registrations","Number","4348"
"-","All vehicle types","-","All fuel types","201002","2010M02","TDM01C1","All Vehicle Registrations","Number","19933"
"-","All vehicle types","-","All fuel types","201002","2010M02","TDM01C2","New Vehicle Registrations","Number","14151"
"-","All vehicle types","-","All fuel types","201002","2010M02","TDM01C3","Second Hand Vehicle Registrations","Number","5782"
"-","All vehicle types","-","All fuel types","201003","2010M03","TDM01C1","All Vehicle Registrations","Number","22359"
"-","All vehicle types","-","All fuel types","201003","2010M03","TDM01C2","New Vehicle Registrations","Number","15873"
"-","All vehicle types","-","All fuel types","201003","2010M03","TDM01C3","Second Hand Vehicle Registrations","Number","6486"
"-","All vehicle types","-","All fuel types","201004","2010M04","TDM01C1","All Vehicle Registrations","Number","15669"
"-","All vehicle types","-","All fuel types","201004","2010M04","TDM01C2","New Vehicle Registrations","Number","9716"
"-","All vehicle types","-","All fuel types","201004","2010M04","TDM01C3","Second Hand Vehicle Registrations","Number","5953"
"-","All vehicle types","-","All fuel types","201005","2010M05","TDM01C1","All Vehicle Registrations","Number","15217"
"-","All vehicle types","-","All fuel types","201005","2010M05","TDM01C2","New Vehicle Registrations","Number","9789"
"-","All vehicle types","-","All fuel types","201005","2010M05","TDM01C3","Second Hand Vehicle Registrations","Number","5428"
"-","All vehicle types","-","All fuel types","201006","2010M06","TDM01C1","All Vehicle Registrations","Number","14866"
"-","All vehicle types","-","All fuel types","201006","2010M06","TDM01C2","New Vehicle Registrations","Number","9565"
"-","All vehicle types","-","All fuel types","201006","2010M06","TDM01C3","Second Hand Vehicle Registrations","Number","5301"
"-","All vehicle types","1","Petrol","200601","2006M01","TDM01C1","All Vehicle Registrations","Number","36501"
"-","All vehicle types","1","Petrol","200601","2006M01","TDM01C2","New Vehicle Registrations","Number","32998"
"-","All vehicle types","1","Petrol","200601","2006M01","TDM01C3","Second Hand Vehicle Registrations","Number","3503"
"-","All vehicle types","1","Petrol","200602","2006M02","TDM01C1","All Vehicle Registrations","Number","23340"
"-","All vehicle types","1","Petrol","200602","2006M02","TDM01C2","New Vehicle Registrations","Number","19395"
"-","All vehicle types","1","Petrol","200602","2006M02","TDM01C3","Second Hand Vehicle Registrations","Number","3945"
"-","All vehicle types","1","Petrol","200603","2006M03","TDM01C1","All Vehicle Registrations","Number","24213"
"-","All vehicle types","1","Petrol","200603","2006M03","TDM01C2","New Vehicle Registrations","Number","20153"
"-","All vehicle types","1","Petrol","200603","2006M03","TDM01C3","Second Hand Vehicle Registrations","Number","4060"
"-","All vehicle types","1","Petrol","200604","2006M04","TDM01C1","All Vehicle Registrations","Number","16830"
"-","All vehicle types","1","Petrol","200604","2006M04","TDM01C2","New Vehicle Registrations","Number","13046"
"-","All vehicle types","1","Petrol","200604","2006M04","TDM01C3","Second Hand Vehicle Registrations","Number","3784"
"-","All vehicle types","1","Petrol","200605","2006M05","TDM01C1","All Vehicle Registrations","Number","17557"
"-","All vehicle types","1","Petrol","200605","2006M05","TDM01C2","New Vehicle Registrations","Number","13237"
"-","All vehicle types","1","Petrol","200605","2006M05","TDM01C3","Second Hand Vehicle Registrations","Number","4320"
"-","All vehicle types","1","Petrol","200606","2006M06","TDM01C1","All Vehicle Registrations","Number","15968"
"-","All vehicle types","1","Petrol","200606","2006M06","TDM01C2","New Vehicle Registrations","Number","11814"
"-","All vehicle types","1","Petrol","200606","2006M06","TDM01C3","Second Hand Vehicle Registrations","Number","4154"
"-","All vehicle types","1","Petrol","200607","2006M07","TDM01C1","All Vehicle Registrations","Number","13181"
"-","All vehicle types","1","Petrol","200607","2006M07","TDM01C2","New Vehicle Registrations","Number","9288"
"-","All vehicle types","1","Petrol","200607","2006M07","TDM01C3","Second Hand Vehicle Registrations","Number","3893"
"-","All vehicle types","1","Petrol","200608","2006M08","TDM01C1","All Vehicle Registrations","Number","10823"
"-","All vehicle types","1","Petrol","200608","2006M08","TDM01C2","New Vehicle Registrations","Number","6738"
"-","All vehicle types","1","Petrol","200608","2006M08","TDM01C3","Second Hand Vehicle Registrations","Number","4085"
"-","All vehicle types","1","Petrol","200609","2006M09","TDM01C1","All Vehicle Registrations","Number","8143"
"-","All vehicle types","1","Petrol","200609","2006M09","TDM01C2","New Vehicle Registrations","Number","4475"
"-","All vehicle types","1","Petrol","200609","2006M09","TDM01C3","Second Hand Vehicle Registrations","Number","3668"
"-","All vehicle types","1","Petrol","200610","2006M10","TDM01C1","All Vehicle Registrations","Number","6661"
"-","All vehicle types","1","Petrol","200610","2006M10","TDM01C2","New Vehicle Registrations","Number","2943"
"-","All vehicle types","1","Petrol","200610","2006M10","TDM01C3","Second Hand Vehicle Registrations","Number","3718"
"-","All vehicle types","1","Petrol","200611","2006M11","TDM01C1","All Vehicle Registrations","Number","4940"
"-","All vehicle types","1","Petrol","200611","2006M11","TDM01C2","New Vehicle Registrations","Number","1249"
"-","All vehicle types","1","Petrol","200611","2006M11","TDM01C3","Second Hand Vehicle Registrations","Number","3691"
"-","All vehicle types","1","Petrol","200612","2006M12","TDM01C1","All Vehicle Registrations","Number","2901"
"-","All vehicle types","1","Petrol","200612","2006M12","TDM01C2","New Vehicle Registrations","Number","738"
"-","All vehicle types","1","Petrol","200612","2006M12","TDM01C3","Second Hand Vehicle Registrations","Number","2163"
"-","All vehicle types","1","Petrol","200701","2007M01","TDM01C1","All Vehicle Registrations","Number","37366"
"-","All vehicle types","1","Petrol","200701","2007M01","TDM01C2","New Vehicle Registrations","Number","33460"
"-","All vehicle types","1","Petrol","200701","2007M01","TDM01C3","Second Hand Vehicle Registrations","Number","3906"
"-","All vehicle types","1","Petrol","200702","2007M02","TDM01C1","All Vehicle Registrations","Number","23358"
"-","All vehicle types","1","Petrol","200702","2007M02","TDM01C2","New Vehicle Registrations","Number","19711"
"-","All vehicle types","1","Petrol","200702","2007M02","TDM01C3","Second Hand Vehicle Registrations","Number","3647"
"-","All vehicle types","1","Petrol","200703","2007M03","TDM01C1","All Vehicle Registrations","Number","24892"
"-","All vehicle types","1","Petrol","200703","2007M03","TDM01C2","New Vehicle Registrations","Number","20921"
"-","All vehicle types","1","Petrol","200703","2007M03","TDM01C3","Second Hand Vehicle Registrations","Number","3971"
"-","All vehicle types","1","Petrol","200704","2007M04","TDM01C1","All Vehicle Registrations","Number","16381"
"-","All vehicle types","1","Petrol","200704","2007M04","TDM01C2","New Vehicle Registrations","Number","12226"
"-","All vehicle types","1","Petrol","200704","2007M04","TDM01C3","Second Hand Vehicle Registrations","Number","4155"
"-","All vehicle types","1","Petrol","200705","2007M05","TDM01C1","All Vehicle Registrations","Number","18090"
"-","All vehicle types","1","Petrol","200705","2007M05","TDM01C2","New Vehicle Registrations","Number","13632"
"-","All vehicle types","1","Petrol","200705","2007M05","TDM01C3","Second Hand Vehicle Registrations","Number","4458"
"-","All vehicle types","1","Petrol","200706","2007M06","TDM01C1","All Vehicle Registrations","Number","15000"
"-","All vehicle types","1","Petrol","200706","2007M06","TDM01C2","New Vehicle Registrations","Number","11047"
"-","All vehicle types","1","Petrol","200706","2007M06","TDM01C3","Second Hand Vehicle Registrations","Number","3953"
"-","All vehicle types","1","Petrol","200707","2007M07","TDM01C1","All Vehicle Registrations","Number","13527"
"-","All vehicle types","1","Petrol","200707","2007M07","TDM01C2","New Vehicle Registrations","Number","9557"
"-","All vehicle types","1","Petrol","200707","2007M07","TDM01C3","Second Hand Vehicle Registrations","Number","3970"
"-","All vehicle types","1","Petrol","200708","2007M08","TDM01C1","All Vehicle Registrations","Number","9543"
"-","All vehicle types","1","Petrol","200708","2007M08","TDM01C2","New Vehicle Registrations","Number","5678"
"-","All vehicle types","1","Petrol","200708","2007M08","TDM01C3","Second Hand Vehicle Registrations","Number","3865"
"-","All vehicle types","1","Petrol","200709","2007M09","TDM01C1","All Vehicle Registrations","Number","7611"
"-","All vehicle types","1","Petrol","200709","2007M09","TDM01C2","New Vehicle Registrations","Number","3997"
"-","All vehicle types","1","Petrol","200709","2007M09","TDM01C3","Second Hand Vehicle Registrations","Number","3614"
"-","All vehicle types","1","Petrol","200710","2007M10","TDM01C1","All Vehicle Registrations","Number","6441"
"-","All vehicle types","1","Petrol","200710","2007M10","TDM01C2","New Vehicle Registrations","Number","2644"
"-","All vehicle types","1","Petrol","200710","2007M10","TDM01C3","Second Hand Vehicle Registrations","Number","3797"
"-","All vehicle types","1","Petrol","200711","2007M11","TDM01C1","All Vehicle Registrations","Number","4527"
"-","All vehicle types","1","Petrol","200711","2007M11","TDM01C2","New Vehicle Registrations","Number","1049"
"-","All vehicle types","1","Petrol","200711","2007M11","TDM01C3","Second Hand Vehicle Registrations","Number","3478"
"-","All vehicle types","1","Petrol","200712","2007M12","TDM01C1","All Vehicle Registrations","Number","2405"
"-","All vehicle types","1","Petrol","200712","2007M12","TDM01C2","New Vehicle Registrations","Number","428"
"-","All vehicle types","1","Petrol","200712","2007M12","TDM01C3","Second Hand Vehicle Registrations","Number","1977"
"-","All vehicle types","1","Petrol","200801","2008M01","TDM01C1","All Vehicle Registrations","Number","36151"
"-","All vehicle types","1","Petrol","200801","2008M01","TDM01C2","New Vehicle Registrations","Number","32526"
"-","All vehicle types","1","Petrol","200801","2008M01","TDM01C3","Second Hand Vehicle Registrations","Number","3625"
"-","All vehicle types","1","Petrol","200802","2008M02","TDM01C1","All Vehicle Registrations","Number","20793"
"-","All vehicle types","1","Petrol","200802","2008M02","TDM01C2","New Vehicle Registrations","Number","16822"
"-","All vehicle types","1","Petrol","200802","2008M02","TDM01C3","Second Hand Vehicle Registrations","Number","3971"
"-","All vehicle types","1","Petrol","200803","2008M03","TDM01C1","All Vehicle Registrations","Number","18602"
"-","All vehicle types","1","Petrol","200803","2008M03","TDM01C2","New Vehicle Registrations","Number","15049"
"-","All vehicle types","1","Petrol","200803","2008M03","TDM01C3","Second Hand Vehicle Registrations","Number","3553"
"-","All vehicle types","1","Petrol","200804","2008M04","TDM01C1","All Vehicle Registrations","Number","13519"
"-","All vehicle types","1","Petrol","200804","2008M04","TDM01C2","New Vehicle Registrations","Number","9226"
"-","All vehicle types","1","Petrol","200804","2008M04","TDM01C3","Second Hand Vehicle Registrations","Number","4293"
"-","All vehicle types","1","Petrol","200805","2008M05","TDM01C1","All Vehicle Registrations","Number","11950"
"-","All vehicle types","1","Petrol","200805","2008M05","TDM01C2","New Vehicle Registrations","Number","7572"
"-","All vehicle types","1","Petrol","200805","2008M05","TDM01C3","Second Hand Vehicle Registrations","Number","4378"
"-","All vehicle types","1","Petrol","200806","2008M06","TDM01C1","All Vehicle Registrations","Number","12473"
"-","All vehicle types","1","Petrol","200806","2008M06","TDM01C2","New Vehicle Registrations","Number","6080"
"-","All vehicle types","1","Petrol","200806","2008M06","TDM01C3","Second Hand Vehicle Registrations","Number","6393"
"-","All vehicle types","1","Petrol","200807","2008M07","TDM01C1","All Vehicle Registrations","Number","9252"
"-","All vehicle types","1","Petrol","200807","2008M07","TDM01C2","New Vehicle Registrations","Number","6197"
"-","All vehicle types","1","Petrol","200807","2008M07","TDM01C3","Second Hand Vehicle Registrations","Number","3055"
"-","All vehicle types","1","Petrol","200808","2008M08","TDM01C1","All Vehicle Registrations","Number","4850"
"-","All vehicle types","1","Petrol","200808","2008M08","TDM01C2","New Vehicle Registrations","Number","2323"
"-","All vehicle types","1","Petrol","200808","2008M08","TDM01C3","Second Hand Vehicle Registrations","Number","2527"
"-","All vehicle types","1","Petrol","200809","2008M09","TDM01C1","All Vehicle Registrations","Number","4279"
"-","All vehicle types","1","Petrol","200809","2008M09","TDM01C2","New Vehicle Registrations","Number","1597"
"-","All vehicle types","1","Petrol","200809","2008M09","TDM01C3","Second Hand Vehicle Registrations","Number","2682"
"-","All vehicle types","1","Petrol","200810","2008M10","TDM01C1","All Vehicle Registrations","Number","3362"
"-","All vehicle types","1","Petrol","200810","2008M10","TDM01C2","New Vehicle Registrations","Number","955"
"-","All vehicle types","1","Petrol","200810","2008M10","TDM01C3","Second Hand Vehicle Registrations","Number","2407"
"-","All vehicle types","1","Petrol","200811","2008M11","TDM01C1","All Vehicle Registrations","Number","2232"
"-","All vehicle types","1","Petrol","200811","2008M11","TDM01C2","New Vehicle Registrations","Number","365"
"-","All vehicle types","1","Petrol","200811","2008M11","TDM01C3","Second Hand Vehicle Registrations","Number","1867"
